14 77 71 133 58 134 25 57 245 235 356 46 75 88 
104 102 66 479 361 128 168 309 231 679 294 653 847 147 
1 454 103 28 49 70 85 124 129 163 230 238 50 251 
182 368 144 364 200 174 76 419 456 285 610 80 141 471 
287 269 161 407 300 321 558 220 832 393 335 276 437 436 
1009 615 1090 1106 803 1245 1318 1381 268 900 902 970 929 1471 
209 1155 1170 199 1487 614 632 1171 1312 1386 687 1338 1348 289 
452 983 467 624 290 522 303 347 925 392 1183 760 1017 777 
1144 263 1231 1262 584 1197 411 605 1199 759 330 725 1299 1370 
1398 708 1609 1449 1912 758 359 1040 1531 1044 1082 1682 1240 1277 
1339 1946 1599 372 504 2084 2089 524 1593 638 395 1722 1608 1822 
1468 564 856 629 1050 1067 1201 787 1293 1360 1561 474 1543 1269 
1845 2169 1840 668 1885 743 1849 2276 1750 2092 1892 1954 773 1762 
1455 1774 657 1949 1200 1595 2081 2085 723 1615 176 2272 208 1620 
2074 216 852 2117 2291 2221 1943 2043 794 896 2347 358 2348 2191 
2630 2380 2506 2610 61 2634 3274 2638 2192 2389 1107 2199 2563 2439 
2524 1306 1786 1554 1789 345 2537 1876 1548 2637 793 2992 3016 815 
2732 2766 2918 3323 391 3667 370 2953 2461 1224 3810 3889 2737 2955 
466 508 783 563 1039 1113 860 1130 1135 3015 601 1037 1215 1280 
3018 1932 836 3040 1951 877 1117 565 867 619 1881 1927 2302 2333 
2478 3335 3683 3796 880 2508 1035 2551 1850 1283 791 2728 2824 1983 
1291 674 1302 1420 807 1441 1345 1628 1424 817 1365 1069 739 805 
1172 1427 1194 1467 1638 1634 1500 1680 1661 1439 1716 1564 1393 3890 
3925 2110 831 1924 3962 2944 2124 1955 2189 2268 2269 2346 1665 4075 
1526 3993 2484 3079 3149 3037 3394 1540 1577 1658 1729 3413 2504 3415 
3098 3626 4552 1752 4565 444 4718 4756 3642 1770 3130 2555 2645 2755 
1940 3770 2894 3773 4801 4818 2139 3862 3479 2152 2479 2539 3088 3888 
3641 3133 3155 5021 1709 3720 2540 2552 4054 3723 833 3729 3847 2580 
1978 879 1086 1529 3955 2046 1731 1895 2134 1112 1907 3261 1139 1216 
1773 2112 2390 4242 4366 4504 2400 4577 3026 1325 1841 2101 2410 4661 
2487 2510 1604 2514 4735 2802 2094 3105 3140 3071 2160 3097 3144 3265 
4810 1906 2095 3196 2151 2216 2217 3263 3283 4831 3293 1349 2248 3372 
3384 4927 3311 2375 3425 3528 5431 5436 3589 3738 1640 5457 5647 3749 
2587 5026 2846 4125 4083 2176 4287 2900 2998 4128 3257 3355 4300 5153 
4380 3270 4591 4595 4619 4222 4685 3392 3418 3403 5187 4274 4343 3566 
4766 5205 548 4460 5406 4768 4813 3444 3530 4546 4624 4895 4949 1814 
3923 2376 2327 5792 1908 2358 3414 5817 3971 3512 4017 2437 5973 4102 
3640 4961 2309 5019 5058 3764 5453 3771 5736 3883 5064 3781 3921 1379 
5084 1858 3911 5210 5284 5265 3939 5311 5556 1396 4043 5629 4259 5782 
3562 4111 3635 193 5980 1965 3753 1505 4193 4247 1566 3754 1666 3779 
2495 3932 2453 2037 1745 2108 2550 4294 1769 1961 5392 1993 4330 2031 
4358 6011 6209 2658 3782 4514 2705 6406 6483 4630 3859 3886 4086 4171 
136 5788 581 78 146 222 848 338 914 2736 349 1369 60 433 
4354 4688 4490 6489 5179 4304 6510 2208 4602 1974 4635 2331 4625 2459 
6374 5854 5445 6538 4331 3977 4333 6588 6604 4441 5465 2385 6643 6878 
5867 567 5506 6949 7236 7314 5585 4442 5606 3992 7472 7592 4604 7606 
2036 7802 2619 5312 2832 2392 2867 2053 2141 2186 2693 2378 2494 2522 
2790 2901 2575 3052 2624 2213 2666 2590 5961 2249 5996 3089 2704 2796 
2311 2814 5787 2374 2841 2856 2386 5825 2754 7803 2816 2903 3048 3126 
6543 5430 4686 6609 4727 5159 6639 4815 2759 5216 6641 6808 5239 6823 
3043 3122 3179 4029 2870 3062 3322 2886 3377 2990 3241 3080 6028 3581 
5243 5451 5651 2777 5604 6941 2855 5650 7123 5993 7141 7425 3063 5671 
3190 7976 3011 3259 3420 3529 3546 3470 3154 3614 4096 3613 3452 8060 
4643 5963 8168 4115 8188 4251 3467 4652 4501 6032 4664 4681 4711 4783 
4506 8215 6094 8233 6036 4788 3631 6138 8264 6061 8299 8300 6206 6213 
7459 6044 5808 5829 4142 4250 6155 5881 6602 3877 5933 7515 6723 4874 
1063 924 1287 1313 1331 1415 999 1267 1432 1528 1718 1556 1732 2219 
8307 6366 4554 3496 4940 4617 6194 4712 4944 4959 6375 6478 4974 6517 
8520 5150 5213 5224 6647 8574 8650 6931 6395 5308 6940 5646 5330 8720 
3658 3735 3909 5735 3192 3317 6741 3387 3798 4431 4286 3812 3611 4498 
5934 6866 3931 5958 6896 6973 6198 4033 7524 7041 4885 6204 6255 7147 
5743 8863 5822 6418 8918 5866 5929 7090 6431 5415 5683 6014 6574 6037 
7536 6577 4517 3253 7695 6728 3755 6811 3427 4448 7170 7717 4855 6845 
5856 6771 7122 6051 4880 6891 9047 9137 6947 6118 6159 7076 7117 6434 
1304 1739 1779 1055 2231 2265 1968 2071 9369 9451 2154 2322 2156 2325 
4203 6516 7438 3954 4253 4130 7183 4982 4533 4034 5069 4319 4273 5085 
6914 7361 3499 3793 3975 7756 4416 7260 4663 3982 7387 7407 4084 4132 
4536 4278 4611 7424 4858 4889 4206 9639 5125 5193 7146 4435 5314 5336 
9643 6172 7441 7255 7341 6217 7445 6258 7549 6560 6296 6626 7607 6822 
4540 5306 9814 7366 7773 5466 4667 5592 7790 4755 5645 4884 4317 4324 
4760 5664 4341 5681 4975 4806 5531 4530 5693 7390 7428 4849 7801 5714 
7625 4174 7637 4275 7794 4740 7507 7822 7601 7849 5875 7743 4544 6073 
4978 5723 5903 5130 5705 4550 5910 5046 4757 4920 5092 5821 5960 5200 
8036 4742 8051 7914 4845 7878 8132 8152 8243 8158 8328 8454 7895 8461 
5086 6007 5180 6117 5098 5214 6158 6192 6024 6205 5246 6438 10330 5272 
2387 1517 2194 2296 1763 2557 1953 2578 2663 2845 2235 3046 3102 10392 
5397 6277 6119 5291 10427 5561 7493 5654 8159 6509 5129 5688 5699 8908 
7920 5182 4934 6387 8936 8141 5434 8469 5052 9017 8557 8709 9103 9122 
3362 2594 3464 3550 2812 2945 3059 3180 3593 3203 3633 3246 3549 2789 
5184 9161 5742 6524 6183 5527 6216 6268 6355 5539 5403 5789 6636 5516 
5530 6525 5906 6526 5971 6568 5700 6802 6329 5731 6757 7581 6479 6897 
6570 7035 5737 7086 6965 5901 5930 7113 6958 7715 7222 10458 6101 7145 
10481 10539 10575 10758 7813 7735 10798 7015 7753 7048 10886 7168 6462 6627 
7912 6143 7857 11065 8115 8137 11331 7924 11370 8142 3799 6699 8004 8187 
6731 11511 6751 11518 8302 8041 8396 8401 6815 6892 8085 8531 8145 8562 
7408 7419 8260 11533 6943 6959 8291 11683 7641 7249 7709 7833 8585 7864 
8611 8675 8617 7251 11712 8222 8712 8283 8310 7320 11758 8805 8964 11941 
8311 8372 8379 12101 9248 12316 9266 9394 9023 9420 9111 12815 8444 8483 
5076 8153 8717 8733 2334 8272 8783 8446 7114 6382 8474 9673 7190 5113 
12886 12895 7402 9239 7430 9550 12968 7239 9596 9633 9486 7622 9718 9846 
7235 12976 7338 6396 7241 6449 7304 9927 8487 7305 5750 7317 7650 10128 
8797 9796 5171 9947 10012 8872 5389 6493 6532 10114 10271 8482 6557 9143 
7340 9630 7806 5840 8259 8559 8588 7494 7850 8610 7996 6606 8716 10193 
13090 13160 9720 10194 7676 13295 13321 7731 10274 10356 6707 10358 10377 13474 
8502 8582 13670 8607 13696 13746 13790 10623 13800 10770 10829 3672 9757 8685 
13865 13904 13930 13948 10849 9931 10523 7888 10879 8697 6798 10937 10954 14186 
3827 3740 3899 2877 3913 3907 4173 4159 10665 4180 2934 8818 4169 4252 
6961 8204 8387 7038 8406 5924 8509 8538 7070 7418 6093 8928 8577 14215 
3049 3486 4469 4375 3712 8038 4656 4803 3933 14219 4495 4807 4917 4539 
8995 6220 9294 5441 7498 5474 8624 7211 9135 10340 10445 5510 7523 9174 
14269 8040 8103 10696 8129 8210 14427 7754 10731 11337 14457 11110 11152 14580 
9219 9255 9316 5576 9355 10448 9319 6335 9441 7273 7910 9522 9416 5600 
9572 10511 9588 10616 9704 9815 5786 10786 9648 7327 11343 11350 5893 7944 
2516 4003 6200 68780 6364 1879 542 10180 6650 617 4385 932 875 10969 
10240 9670 6030 11480 10586 9715 11537 10679 8589 11565 8661 9803 10724 10024 
6397 8972 11236 7983 11399 8976 14621 6426 7330 8250 9343 8061 6482 9007 
1202 3258 6062 10103 5862 10113 2338 8813 2404 6144 4143 6279 11600 10913 
